[ 2020-09-15 11:00:49,266 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : LEVEL_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,266 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : TYPE_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,266 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : TITLE默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,266 ] - [ modelgenerator.py ] - [ line:252 ] - INFO : CONTENT默认值为空-字段可为空-CLOB类型处理
[ 2020-09-15 11:00:49,266 ] - [ modelgenerator.py ] - [ line:252 ] - INFO : CONTENT_TEXT默认值为空-字段可为空-CLOB类型处理
[ 2020-09-15 11:00:49,266 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : CREATED_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,266 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : STAFF_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,267 ] - [ modelgenerator.py ] - [ line:255 ] - INFO : EFF_DATE默认值为空-字段可为空-时间类型处理
[ 2020-09-15 11:00:49,267 ] - [ modelgenerator.py ] - [ line:255 ] - INFO : EXP_DATE默认值为空-字段可为空-时间类型处理
[ 2020-09-15 11:00:49,267 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : AUDIT_STAFF_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,267 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,267 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : AUDIT_REASON默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,268 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : STATE_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,268 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : VIEW_COUNTS默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,268 ] - [ modelgenerator.py ] - [ line:243 ] - INFO : IS_ON_TOP默认值为空-字段可为空-字符定长类型处理
[ 2020-09-15 11:00:49,268 ] - [ modelgenerator.py ] - [ line:243 ] - INFO : IS_ROLL默认值为空-字段可为空-字符定长类型处理
[ 2020-09-15 11:00:49,269 ] - [ modelgenerator.py ] - [ line:243 ] - INFO : IS_POPUP默认值为空-字段可为空-字符定长类型处理
[ 2020-09-15 11:00:49,269 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : COMMENTS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,269 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,270 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_bulletin表模型成功构建----------------------------
[ 2020-09-15 11:00:49,296 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_bulletin_level表模型开始构建----------------------------
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : LEVEL_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : LEVEL_NAME默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : RECORD_COLOR默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : ICON_URL默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : STATE_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : FORCE_VIEW默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,297 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,298 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_bulletin_level表模型成功构建----------------------------
[ 2020-09-15 11:00:49,324 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_bulletin_recipient表模型开始构建----------------------------
[ 2020-09-15 11:00:49,325 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : BULLETIN_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,325 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : TYPE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,325 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : PARTY_CODE默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,325 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,326 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_bulletin_recipient表模型成功构建----------------------------
[ 2020-09-15 11:00:49,358 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_bulletin_tmpl表模型开始构建----------------------------
[ 2020-09-15 11:00:49,358 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : TEMPLATE_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,358 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : TEMPLATE_NAME默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,358 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,359 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : STATE_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,359 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : COMMENTS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,359 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : CREATOR默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,359 ] - [ modelgenerator.py ] - [ line:252 ] - INFO : CONTENT默认值为空-字段可为空-CLOB类型处理
[ 2020-09-15 11:00:49,359 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,361 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_bulletin_tmpl表模型成功构建----------------------------
[ 2020-09-15 11:00:49,386 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_bulletin_type表模型开始构建----------------------------
[ 2020-09-15 11:00:49,386 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : TYPE_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,386 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : PARENT_TYPE_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,386 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : TYPE_NAME默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,386 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,387 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : STATE_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,387 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,388 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_bulletin_type表模型成功构建----------------------------
[ 2020-09-15 11:00:49,415 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_bulletin_view表模型开始构建----------------------------
[ 2020-09-15 11:00:49,415 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : BULLETIN_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,416 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : STAFF_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,416 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,416 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : VIEW_DURATION默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,416 ] - [ modelgenerator.py ] - [ line:255 ] - INFO : STATE_DATE默认值为空-字段可为空-时间类型处理
[ 2020-09-15 11:00:49,416 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,417 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_bulletin_view表模型成功构建----------------------------
[ 2020-09-15 11:00:49,445 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_component_priv表模型开始构建----------------------------
[ 2020-09-15 11:00:49,445 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : PRIV_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,445 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : MENU_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,445 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : OBJ_ID默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,446 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_component_priv表模型成功构建----------------------------
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_data_priv表模型开始构建----------------------------
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : DATA_PRIV_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : DATA_PRIV_NAME默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : DATA_PRIV_CODE默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : COMMENTS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : DATA_TYPE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : DATA_SRC默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,468 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,469 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_data_priv表模型成功构建----------------------------
[ 2020-09-15 11:00:49,493 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_dir表模型开始构建----------------------------
[ 2020-09-15 11:00:49,493 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : DIR_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,493 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : DIR_NAME默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,494 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : PARENT_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,494 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : ICON_URL默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,494 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,494 ] - [ modelgenerator.py ] - [ line:255 ] - INFO : STATE_DATE默认值为空-字段可为空-时间类型处理
[ 2020-09-15 11:00:49,494 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : DIR_CODE默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,495 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_dir表模型成功构建----------------------------
[ 2020-09-15 11:00:49,520 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_event_code表模型开始构建----------------------------
[ 2020-09-15 11:00:49,520 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : EVENT_CODE默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,520 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : EVENT_TYPE默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,520 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : EVENT_SRC_CODE默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,520 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : IS_AUDIT默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,520 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : COMMENTS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,521 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_event_code表模型成功构建----------------------------
[ 2020-09-15 11:00:49,549 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_event_src表模型开始构建----------------------------
[ 2020-09-15 11:00:49,550 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : EVENT_SRC_CODE默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,550 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : EVENT_SRC_NAME默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,550 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : COMMENTS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,550 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_event_src表模型成功构建----------------------------
[ 2020-09-15 11:00:49,629 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_event_type表模型开始构建----------------------------
[ 2020-09-15 11:00:49,629 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : EVENT_TYPE默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,629 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : EVENT_SRC_CODE默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,629 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : COMMENTS默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,630 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_event_type表模型成功构建----------------------------
[ 2020-09-15 11:00:49,655 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_job表模型开始构建----------------------------
[ 2020-09-15 11:00:49,655 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : JOB_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,655 ] - [ modelgenerator.py ] - [ line:295 ] - INFO : JOB_NAME默认值为空-字段非空-字符类型处理
[ 2020-09-15 11:00:49,655 ] - [ modelgenerator.py ] - [ line:291 ] - INFO : STATE默认值为空-字段非空-字符定长类型处理
[ 2020-09-15 11:00:49,656 ] - [ modelgenerator.py ] - [ line:305 ] - INFO : STATE_DATE默认值为空-字段非空-时间类型处理
[ 2020-09-15 11:00:49,656 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,656 ] - [ modelgenerator.py ] - [ line:246 ] - INFO : JOB_CODE默认值为空-字段可为空-字符类型处理
[ 2020-09-15 11:00:49,656 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_job表模型成功构建----------------------------
[ 2020-09-15 11:00:49,738 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_job_layout表模型开始构建----------------------------
[ 2020-09-15 11:00:49,738 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : JOB_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,738 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : PORTAL_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,739 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : LAYOUT_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,739 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : SP_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,739 ] - [ modelgenerator.py ] - [ line:243 ] - INFO : STATE默认值为空-字段可为空-字符定长类型处理
[ 2020-09-15 11:00:49,739 ] - [ modelgenerator.py ] - [ line:255 ] - INFO : STATE_DATE默认值为空-字段可为空-时间类型处理
[ 2020-09-15 11:00:49,741 ] - [ modelgenerator.py ] - [ line:504 ] - INFO : oracle2mysql----------------------------bfm_job_layout表模型成功构建----------------------------
[ 2020-09-15 11:00:49,765 ] - [ modelgenerator.py ] - [ line:202 ] - INFO : oracle2mysql----------------------------bfm_job_role表模型开始构建----------------------------
[ 2020-09-15 11:00:49,765 ] - [ modelgenerator.py ] - [ line:263 ] - INFO : JOB_ROLE_ID默认值为空-字段非空-数值类型处理
[ 2020-09-15 11:00:49,765 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : JOB_ID默认值为空-字段可为空-数值类型处理
[ 2020-09-15 11:00:49,765 ] - [ modelgenerator.py ] - [ line:216 ] - INFO : ROLE_ID默认值为空-字段可为空-数值类型处理
